,date,PERMNO,SHRCD,EXCHCD,TICKER,PRC,VOL,RET,SHROUT
4200237,2019-10,15709,11.0,3.0,,18.65,18690.0,0.075548,21888.0
4200238,2019-10,15710,11.0,1.0,,12.67,26381.0,-0.029862,35293.0
4200239,2019-10,15714,73.0,4.0,,28.4691,15.0,0.012688,100.0
4200240,2019-10,15718,73.0,4.0,,-19.915,138.0,0.030797,750.0
4200241,2019-10,15719,18.0,1.0,,28.65,72486.0,0.013083,68917.0
4200242,2019-10,15720,11.0,1.0,,62.9,650633.0,-0.16600399999999998,358601.0
4200243,2019-10,15722,73.0,4.0,,29.3132,79.0,0.037066,100.0
4200244,2019-10,15724,11.0,1.0,,42.61,125715.0,-0.073897,105526.0
4200245,2019-10,15725,73.0,4.0,,40.48,2080.0,-0.002688,1750.0
4200246,2019-10,15726,73.0,4.0,,36.1103,1523.0,0.028792,1850.0
4200247,2019-10,15729,11.0,1.0,,19.46,723079.0,0.14876,256179.0
4200248,2019-10,15731,73.0,4.0,,38.28,88953.0,0.007899,50950.0
4200249,2019-10,15732,73.0,4.0,,39.33,797208.0,-0.000254,101650.0
4200250,2019-10,15735,12.0,1.0,,160.12,79140.0,0.039133,185533.0
4200251,2019-10,15774,11.0,3.0,,33.26,112148.0,0.03646,20811.0
4200252,2019-10,15775,11.0,3.0,,1.75,397464.0,0.62037,41381.0
4200253,2019-10,15776,11.0,3.0,,2.72,66201.0,-0.139241,52650.0
4200254,2019-10,15778,73.0,3.0,,19.75,2561.0,0.052935,1650.0
4200255,2019-10,15779,11.0,3.0,,6.13,160675.0,-0.169377,45434.0
4200256,2019-10,15781,73.0,3.0,,31.625,1563.0,0.007894,2150.0
4200257,2019-10,15782,11.0,3.0,,15.76,86613.0,0.011553,108751.0
4200258,2019-10,15784,11.0,3.0,,3.02,42153.0,-0.105609,5779.0
4200259,2019-10,15785,11.0,3.0,,12.78,214890.0,-0.086164,120947.0
4200260,2019-10,15786,11.0,3.0,,9.16,94999.0,0.07009299999999999,30119.0
4200261,2019-10,15787,11.0,3.0,,2.14,29411.0,-0.065502,32291.0
4200262,2019-10,15788,11.0,3.0,,57.33,67995.0,0.099329,46226.0
4200263,2019-10,15789,12.0,3.0,,71.64,135658.0,-0.04199,98969.0
4200264,2019-10,15791,12.0,-1.0,,,,,31303.0
4200265,2019-10,15793,11.0,3.0,,1.91,3792.0,-0.262548,11224.0
4200266,2019-10,15794,12.0,3.0,,2.12,41958.0,-0.112971,54206.0
4200267,2019-10,15795,11.0,3.0,,7.95,53503.0,0.07650599999999999,49506.0
4200268,2019-10,15796,12.0,3.0,,1.4932,32579.0,-0.004533,21060.0
4200269,2019-10,15802,11.0,1.0,,40.6,1517.0,0.14077,3492.0
4200270,2019-10,15814,73.0,4.0,,34.8052,3713.0,0.009039,6200.0
4200271,2019-10,15815,73.0,4.0,,27.8931,1762.0,0.031931,2800.0
4200272,2019-10,15817,73.0,4.0,,40.5499,1951.0,0.024378,1450.0
4200273,2019-10,15821,73.0,4.0,,27.2195,30.0,0.021412,200.0
4200274,2019-10,15822,73.0,4.0,,28.3373,73.0,0.021256,300.0
4200275,2019-10,15823,73.0,4.0,,29.16,43920.0,0.030753,56200.0
